STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,18950.600000000122,112.99999999755528,fetch,,18952.900000000227,0,0,18952.900000000227,18952.900000000227,18952.900000000227,18952.900000000227,18952.900000000227,0,18952.900000000227,19057.600000000093,19063.599999997678,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,19301.49999999776,88.10000000084983,fetch,,19304.299999999785,0,0,19304.299999999785,19304.299999999785,19304.299999999785,19304.299999999785,19304.299999999785,0,19304.299999999785,19385.39999999921,19389.59999999861,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,19402.19999999681,84.30000000225846,fetch,,19404.599999998027,0,0,19404.599999998027,19404.599999998027,19404.599999998027,19404.599999998027,19404.599999998027,0,19404.599999998027,19482.599999999366,19486.49999999907,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,19658.49999999773,62.09999999919091,fetch,,19659.899999998743,0,0,19659.899999998743,19659.899999998743,19659.899999998743,19659.899999998743,19659.899999998743,0,19659.899999998743,19717.599999999948,19720.59999999692,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,19729.099999996834,69.30000000284053,fetch,,19731.09999999724,0,0,19731.09999999724,19731.09999999724,19731.09999999724,19731.09999999724,19731.09999999724,0,19731.09999999724,19794.899999997142,19798.399999999674,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,19957.899999997608,104.29999999905704,fetch,,19959.899999998015,0,0,19959.899999998015,19959.899999998015,19959.899999998015,19959.899999998015,19959.899999998015,0,19959.899999998015,20056.899999999587,20062.199999996665,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,20074.699999997392,116.30000000150176,fetch,,20078.099999998813,0,0,20078.099999998813,20078.099999998813,20078.099999998813,20078.099999998813,20078.099999998813,0,20078.099999998813,20186.799999999494,20190.999999998894,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,20391.099999997095,101.50000000066939,fetch,,20393.89999999912,0,0,20393.89999999912,20393.89999999912,20393.89999999912,20393.89999999912,20393.89999999912,0,20393.89999999912,20488.099999998667,20492.599999997765,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,20504.799999998795,100.59999999793945,fetch,,20507.699999998295,0,0,20507.699999998295,20507.699999998295,20507.699999998295,20507.699999998295,20507.699999998295,0,20507.699999998295,20601.09999999986,20605.399999996735,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,20788.19999999905,119.20000000100117,fetch,,20791.49999999936,0,0,20791.49999999936,20791.49999999936,20791.49999999936,20791.49999999936,20791.49999999936,0,20791.49999999936,20902.299999997922,20907.400000000052,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,20916.699999997945,125,fetch,,20919.999999998254,0,0,20919.999999998254,20919.999999998254,20919.999999998254,20919.999999998254,20919.999999998254,0,20919.999999998254,21029.999999998836,21041.699999997945,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,21355.70000000007,118.89999999766587,fetch,,21358.699999997043,0,0,21358.699999997043,21358.699999997043,21358.699999997043,21358.699999997043,21358.699999997043,0,21358.699999997043,21468.799999998737,21474.599999997736,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,21355.70000000007,118.89999999766587,fetch,,21358.699999997043,0,0,21358.699999997043,21358.699999997043,21358.699999997043,21358.699999997043,21358.699999997043,0,21358.699999997043,21468.799999998737,21474.599999997736,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,21719.79999999894,110.3000000002794,fetch,,21722.399999998743,0,0,21722.399999998743,21722.399999998743,21722.399999998743,21722.399999998743,21722.399999998743,0,21722.399999998743,21823.999999996886,21830.09999999922,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,21846.599999997125,172.20000000088476,fetch,,21850.399999999354,0,0,21850.399999999354,21850.399999999354,21850.399999999354,21850.399999999354,21850.399999999354,0,21850.399999999354,22015.199999998003,22018.79999999801,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,22187.39999999889,92.70000000105938,fetch,,22188.899999997375,0,0,22188.899999997375,22188.899999997375,22188.899999997375,22188.899999997375,22188.899999997375,0,22188.899999997375,22274.29999999731,22280.099999999948,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,22292.199999999866,87.59999999892898,fetch,,22294.599999997445,0,0,22294.599999997445,22294.599999997445,22294.599999997445,22294.599999997445,22294.599999997445,0,22294.599999997445,22374.09999999727,22379.799999998795,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,22619.599999998172,117.39999999917927,fetch,,22621.99999999939,0,0,22621.99999999939,22621.99999999939,22621.99999999939,22621.99999999939,22621.99999999939,0,22621.99999999939,22731.799999997747,22736.99999999735,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,22746.499999997468,78.79999999931897,fetch,,22748.7000000001,0,0,22748.7000000001,22748.7000000001,22748.7000000001,22748.7000000001,22748.7000000001,0,22748.7000000001,22820.499999997992,22825.299999996787,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,23006.099999998696,60.30000000100699,fetch,,23007.49999999971,0,0,23007.49999999971,23007.49999999971,23007.49999999971,23007.49999999971,23007.49999999971,0,23007.49999999971,23063.599999997678,23066.399999999703,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,23074.59999999992,55.00000000029104,fetch,,23076.099999998405,0,0,23076.099999998405,23076.099999998405,23076.099999998405,23076.099999998405,23076.099999998405,0,23076.099999998405,23127.599999999802,23129.60000000021,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/network.json,resource,23313.099999999395,122.59999999878346,fetch,,23315.199999997276,0,0,23315.199999997276,23315.199999997276,23315.199999997276,23315.199999997276,23315.199999997276,0,23315.199999997276,23432.099999998172,23435.699999998178,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/network.json,resource,23443.199999997887,105.5000000014843,fetch,,23445.499999997992,0,0,23445.499999997992,23445.499999997992,23445.499999997992,23445.499999997992,23445.499999997992,0,23445.499999997992,23542.69999999815,23548.69999999937,0,31522,31522,
