STATE,is,e_is,ofv,mbv,pc,ol
SW was stopped,446.7000000004191,515.400000000227,537.0000000002619,552.8999999987718,1387.5000000007276,1388.599999998405
SW was awake,292.2999999973399,363.5999999969499,396.3000000003376,422.099999999773,1021.0999999981141,1030.800000000454
SW was stopped,349.79999999995925,407.90000000197324,432.90000000342843,448.500000002241,995.2000000012049,995.8000000005995
SW was awake,379.20000000303844,437.5,457.20000000073924,474.1000000030908,1095.0000000011642,1332.9000000012456
SW was stopped,364.90000000048894,419.99999999825377,440.8000000003085,459.1000000000349,952.3999999983062,1230.599999998958
SW was awake,373.79999999757274,445.09999999718275,462.599999998929,479.0999999968335,1106.7000000002736,1272.0999999983178
SW was stopped,501.4999999984866,561.6999999983818,579.8999999969965,595.5999999969208,983.1999999987602,1089.299999999639
SW was awake,375.19999999858555,431.9999999970605,449.6999999973923,467.1999999991385,963.9999999999418,964.4999999982247
SW was stopped,455.60000000114087,514.100000000326,531.699999999546,550.2999999989697,1344.199999999546,1534.2000000018743
SW was awake,485.3000000002794,526.2999999977183,544.6999999985565,560.6999999981781,1313.6999999987893,1489.399999998568
SW was stopped,437.5,482.2999999996682,501.8000000018219,523.9000000001397,1209.100000000035,1361.7000000012922
SW was awake,415.60000000026776,458.0999999998312,478.3999999999651,494.5999999981723,861.0000000007858,984.3000000000757
SW was stopped,366.6000000011991,415.0000000008731,434.00000000110595,456.3000000016473,796.0999999995693,796.6000000014901
SW was awake,278.80000000004657,332.20000000073924,350.800000000163,367.6000000014028,949.5000000024447,1065.3000000020256
SW was stopped,313.6000000013155,356.5999999991618,374.89999999888823,391.8999999987136,855.8999999986554,985.4000000013912
SW was awake,286.4000000008673,351.8000000003667,373.5999999989872,391.29999999931897,1090.8000000017637,1246.9999999993888
SW was stopped,340.59999999954016,392.89999999891734,411.4999999983411,427.79999999766005,1350.0999999996566,1534.4999999979336
SW was awake,375.89999999909196,434.79999999908614,455.4000000025553,474.39999999915017,1016.9999999998254,1135.3999999992084
SW was stopped,385.3999999992084,432.99999999726424,451.4999999992142,466.999999996915,1769.5999999996275,1770.3000000001339
SW was awake,390.69999999992433,464.7000000004482,490.5999999973574,506.39999999839347,1111.3000000004831,1387.0999999999185
SW was stopped,343.7000000012631,424.00000000270666,446.80000000153086,462.1000000006461,1794.8000000033062,1933.0000000009022
SW was awake,318.19999999788706,371.3999999999942,389.7999999971944,405.1999999974214,1190.999999998894,1383.9999999981956
SW was stopped,361.69999999765423,424.49999999735155,443.2999999989988,460.19999999771244,1235.9999999971478,1236.6000000001804
