STATE,name,entryType,startTime,duration,initiatorType,nextHopProtocol,workerStart,redirectStart,redirectEnd,fetchStart,domainLookupStart,domainLookupEnd,connectStart,connectEnd,secureConnectionStart,requestStart,responseStart,responseEnd,transferSize,encodedBodySize,decodedBodySize,serverTiming
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6837.999999999738,12.99999999901047,fetch,,6839.299999999639,0,0,6839.399999997113,6839.399999997113,6839.399999997113,6839.399999997113,6839.399999997113,0,6839.399999997113,6847.899999997026,6850.9999999987485,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6855.4000000003725,11.599999997997656,fetch,,6856.799999997747,0,0,6856.799999997747,6856.799999997747,6856.799999997747,6856.799999997747,6856.799999997747,0,6856.799999997747,6863.900000000285,6866.99999999837,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,6954.399999998714,12.39999999961583,fetch,,6955.699999998615,0,0,6955.699999998615,6955.699999998615,6955.699999998615,6955.699999998615,6955.699999998615,0,6955.699999998615,6963.799999997718,6966.799999998329,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,6971.90000000046,11.899999997694977,fetch,,6973.200000000361,0,0,6973.200000000361,6973.200000000361,6973.200000000361,6973.200000000361,6973.200000000361,0,6973.200000000361,6980.799999997544,6983.799999998155,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7072.799999998097,13.699999999516876,fetch,,7074.099999997998,0,0,7074.099999997998,7074.099999997998,7074.099999997998,7074.099999997998,7074.099999997998,0,7074.099999997998,7083.499999997002,7086.4999999976135,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7091.300000000047,11.800000000221189,fetch,,7092.699999997421,0,0,7092.699999997421,7092.699999997421,7092.699999997421,7092.699999997421,7092.699999997421,0,7092.699999997421,7099.899999997433,7103.100000000268,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7199.99999999709,12.700000002951128,fetch,,7201.499999999214,0,0,7201.499999999214,7201.499999999214,7201.499999999214,7201.499999999214,7201.499999999214,0,7201.499999999214,7209.599999998318,7212.700000000041,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7217.499999998836,11.900000001332955,fetch,,7218.799999998737,0,0,7218.799999998737,7218.799999998737,7218.799999998737,7218.799999998737,7218.799999998737,0,7218.799999998737,7226.199999997334,7229.400000000169,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7320.400000000518,14.49999999749707,fetch,,7321.899999999005,0,0,7321.899999999005,7321.899999999005,7321.899999999005,7321.899999999005,7321.899999999005,0,7321.899999999005,7331.899999997404,7334.899999998015,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7339.199999998527,12.600000001839362,fetch,,7340.59999999954,0,0,7340.59999999954,7340.59999999954,7340.59999999954,7340.59999999954,7340.59999999954,0,7340.59999999954,7348.500000000058,7351.800000000367,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7499.199999998382,12.900000001536682,fetch,,7500.79999999798,0,0,7500.79999999798,7500.79999999798,7500.79999999798,7500.79999999798,7500.79999999798,0,7500.79999999798,7508.899999997084,7512.0999999999185,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7516.4999999979045,12.09999999991851,fetch,,7518.000000000029,0,0,7518.000000000029,7518.000000000029,7518.000000000029,7518.000000000029,7518.000000000029,0,7518.000000000029,7525.2999999975145,7528.599999997823,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7619.699999999284,13.100000000122236,fetch,,7621.100000000297,0,0,7621.100000000297,7621.100000000297,7621.100000000297,7621.100000000297,7621.100000000297,0,7621.100000000297,7629.60000000021,7632.799999999406,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7637.299999998504,20.300000000133878,fetch,,7639.499999997497,0,0,7639.499999997497,7639.499999997497,7639.499999997497,7639.499999997497,7639.499999997497,0,7639.499999997497,7649.299999997311,7657.599999998638,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7754.699999997683,16.700000000128057,fetch,,7756.499999999505,0,0,7756.499999999505,7756.499999999505,7756.499999999505,7756.499999999505,7756.499999999505,0,7756.499999999505,7766.4999999979045,7771.399999997811,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7776.599999997416,15.300000002753222,fetch,,7777.999999998428,0,0,7777.999999998428,7777.999999998428,7777.999999998428,7777.999999998428,7777.999999998428,0,7777.999999998428,7786.89999999915,7791.900000000169,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,7883.899999997084,17.600000002857996,fetch,,7885.199999996985,0,0,7885.199999996985,7885.199999996985,7885.199999996985,7885.199999996985,7885.199999996985,0,7885.199999996985,7897.300000000541,7901.499999999942,0,31522,31522,
SW was stopped,https://nonimportscript.surge.sh/cache.json,resource,7907.100000000355,17.399999996996485,fetch,,7908.400000000256,0,0,7908.400000000256,7908.400000000256,7908.400000000256,7908.400000000256,7908.400000000256,0,7908.400000000256,7917.29999999734,7924.499999997352,0,31522,31522,
SW was awake,https://nonimportscript.surge.sh/cache.json,resource,8015.999999999622,28.6999999989348,fetch,,8017.299999999523,0,0,8017.299999999523,8017.299999999523,8017.299999999523,8017.299999999523,8017.299999999523,0,8017.299999999523,8029.299999998329,8044.699999998556,0,31522,31522,
